type;surface-temp;radius;mass;absmag;luminosity;hab;lifetime;r;g;b
O3;53000;15;120;-6.0;1400000;1200;2;155;176;255
O5;45000;12;60;-5.7;790000;890;3;162;184;255
O8;35000;8.5;23;-4.9;170000;410;6;157;177;255
B0;30000;7.4;17;-4.0;50000;220;9;156;178;255
B3;19000;4.8;7.6;-1.6;1900;44;30;165;185;255
B5;15000;3.9;5.9;-1.2;830;29;50;170;191;255
B8;12000;3.0;3.8;-0.2;180;13;150;177;195;255
A0;9500;2.4;2.9;+0.6;54;7.3;300;185;201;255
A5;8200;1.7;2.0;+1.9;14;3.7;1000;202;215;255
F0;7200;1.5;1.6;+2.7;6.5;2.5;1900;224;229;255
F5;6400;1.3;1.3;+3.5;3.2;1.8;3200;248;247;255
G0;6000;1.1;1.05;+4.4;1.5;1.2;8000;255;248;252
G2;5800;1.0;1.00;+4.8;1.0;1.0;10000;255;245;242
G5;5700;0.92;0.92;+5.1;0.79;0.89;12000;255;244;234
K0;5200;0.85;0.79;+5.9;0.42;0.65;22000;255;238;221
K5;4300;0.72;0.67;+7.4;0.15;0.39;45000;255;210;161
M0;3800;0.60;0.51;+8.8;0.08;0.28;68000;255;195;139
M5;3200;0.27;0.21;+12.3;0.011;0.10;200000;255;204;111
M8;2600;0.15;0.06;+16.0;0.001;0.03;700000;255;198;109
